City,Coordinates
"Wailuku, Maui, Hawaii, United States","20.8905443, -156.503093"
"Karibib, Karibib, Erongo, Namibia","-21.9361693, 15.8528779"
"Calcutta, West Bengal, India","22.5726459, 88.3638953"
"Donna, Hidalgo, Texas, United States","26.1702082, -98.0522376"
"Pompano, Broward, Florida, United States","26.2378597, -80.1247667"
"Brisbane, Queensland, Australia","-27.4689682, 153.0234991"
"Tampa, Hillsborough, Florida, United States","27.9477595, -82.458444"
"Chihuahua, Chihuahua, Chihuahua, Mexico","28.6368669, -106.076745"
"Matachí, Matachí, Chihuahua, Mexico","28.8404028, -107.754051"
"Colonia Juarez, Chihuahua, Mexico","30.3076107, -108.081005"
"Colonia Guadalupe, Chihuahua, Mexico","30.3312918, -107.9350448"
"Jacksonville, Duval, Florida, United States","30.3321838, -81.655651"
"Colonia Dublan, Chihuahua, Mexico","30.4460625, -107.919349"
"Altha, Calhoun, Florida, United States","30.5704721, -85.1271442"
"Alliance, Jackson, Florida, United States","30.6099162, -85.1135339"
"Marianna, Jackson, Florida, United States","30.7743596, -85.2268735"
"Colonia Diaz, Chihuahua, Mexico","31.1050492, -107.9968551"
"Axson, Atkinson, Georgia, United States","31.276705, -82.7237799"
"Douglas, Cochise, Arizona, United States","31.3447174, -109.5545036"
"Lowell, Cochise, Arizona, United States","31.4301511, -109.8936779"
"Bisbee, Cochise, Arizona, United States","31.4417165, -109.9159946"
"Elfrida, Cochise, Arizona, United States","31.6853714, -109.6870138"
"Juárez, Juárez, Chihuahua, Mexico","31.7372575, -106.485655"
"El Paso, El Paso, Texas, United States","31.7601164, -106.4870404"
"Hazlehurst, Jeff Davis, Georgia, United States","31.8696309, -82.5943026"
"Saint David, Cochise, Arizona, United States","31.9042517, -110.2142399"
"Benson, Cochise, Arizona, United States","31.9678611, -110.294517"
"Pomerene, Cochise, Arizona, United States","31.999527, -110.286183"
"Savannah, Chatham, Georgia, United States","32.0790074, -81.0921335"
"San Pedro, Pima, Arizona, United States","32.0834101, -111.4881656"
"Deming, Luna, New Mexico, United States","32.2627416, -107.7581979"
"Binghampton, Pima, Arizona, United States","32.2628728, -110.8726059"
"Empire, Dodge, Georgia, United States","32.3391605, -83.294538"
"Lordsburg, Hidalgo, New Mexico, United States","32.3504143, -108.708434"
"Sunset, Graham, Arizona, United States","32.5239605, -110.2073049"
"Whitewater, Grant, New Mexico, United States","32.5814694, -108.1339305"
"Wellton, Yuma, Arizona, United States","32.6728314, -114.146889"
"Franklin, Greenlee, Arizona, United States","32.6775723, -109.0792285"
"Virden, Hidalgo, New Mexico, United States","32.6870176, -109.002005"
"Duncan, Greenlee, Arizona, United States","32.7151776, -109.100448"
"San Diego, San Diego, California, United States","32.7174202, -117.162772"
"Gilmer, Upshur, Texas, United States","32.728803, -94.9445572"
"Lebanon, Graham, Arizona, United States","32.7453454, -109.7161911"
"Fort Worth, Tarrant, Texas, United States","32.753177, -97.3327459"
"Dallas, Dallas, Texas, United States","32.7762719, -96.7968559"
"Solomon, Graham, Arizona, United States","32.8139559, -109.629582"
"Haifa, Israel","32.8191218, 34.9983856"
"Safford, Graham, Arizona, United States","32.8332442, -109.7131838"
"Thatcher, Graham, Arizona, United States","32.8492323, -109.759247"
"Hubbard, Graham, Arizona, United States","32.8524942, -109.7906836"
"Central, Graham, Arizona, United States","32.8675652, -109.7928591"
"Graham, Graham, Arizona, United States","32.875065, -109.7406365"
"Casa Grande, Pinal, Arizona, United States","32.8772834, -111.7536818"
"Pima, Graham, Arizona, United States","32.8961755, -109.827581"
"Glenbar, Graham, Arizona, United States","32.9167304, -109.8581374"
"Bryce, Graham, Arizona, United States","32.9289524, -109.8278595"
"Eden, Graham, Arizona, United States","32.9611733, -109.8953601"
"Brawley, Imperial, California, United States","32.9786566, -115.530267"
"Ashurst, Graham, Arizona, United States","32.984228, -109.932305"
"Hayden, Gila, Arizona, United States","32.998027, -110.7808568"
"Fort Thomas, Graham, Arizona, United States","33.0370042, -109.9653612"
"Geronimo, Graham, Arizona, United States","33.0770031, -110.0350848"
"Haralson, Coweta, Georgia, United States","33.2265413, -84.5711501"
"Chandler, Maricopa, Arizona, United States","33.3062031, -111.841185"
"Gilbert, Maricopa, Arizona, United States","33.3527632, -111.789037"
"Globe, Gila, Arizona, United States","33.3959139, -110.7871744"
"Miami, Gila, Arizona, United States","33.3995392, -110.8709218"
"Broadway, Maricopa, Arizona, United States","33.4069057, -111.8841462"
"Mesa, Maricopa, Arizona, United States","33.4151005, -111.831455"
"Tempe, Maricopa, Arizona, United States","33.4255117, -111.940016"
"Phoenix, Maricopa, Arizona, United States","33.4484367, -112.074141"
"Lehi, Maricopa, Arizona, United States","33.4590034, -111.8134791"
"Glendale, Maricopa, Arizona, United States","33.5386858, -112.185994"
"Webb, Maricopa, Arizona, United States","33.5525397, -112.367104"
"Lubbock, Lubbock, Texas, United States","33.5855677, -101.8470215"
"Santa Ana, Orange, California, United States","33.7494951, -117.873221"
"Long Beach, Los Angeles, California, United States","33.7690164, -118.191604"
"Luna, Catron, New Mexico, United States","33.8189419, -108.9545153"
"Anaheim, Orange, California, United States","33.8347516, -117.911732"
"Alpine, Apache, Arizona, United States","33.8449987, -109.145002"
"Artesia, Los Angeles, California, United States","33.8690197, -118.0796195"
"Fullerton, Orange, California, United States","33.8708215, -117.929416"
"Home Gardens, Riverside, California, United States","33.8808327, -117.5133522"
"Bellflower, Los Angeles, California, United States","33.8825705, -118.1167679"
"Compton, Los Angeles, California, United States","33.894927, -118.226624"
"El Segundo, Los Angeles, California, United States","33.917028, -118.4156337"
"Cape Town, Western Cape, South Africa","-33.9288301, 18.4172197"
"South Gate, Los Angeles, California, United States","33.9463456, -118.200981"
"Nutrioso, Apache, Arizona, United States","33.953106, -109.2092478"
"Inglewood, Los Angeles, California, United States","33.9562003, -118.353132"
"Firestone Park, Los Angeles, California, United States","33.9630705, -118.232572"
"Walnut Park, Los Angeles, California, United States","33.9668917, -118.2208609"
"Huntington Park, Los Angeles, California, United States","33.9805731, -118.2252073"
"Maywood, Los Angeles, California, United States","33.9866807, -118.185349"
"Greer, Apache, Arizona, United States","34.0100477, -109.4587014"
"Chino, San Bernardino, California, United States","34.0133561, -117.690075"
"Montebello, Los Angeles, California, United States","34.0159398, -118.111975"
"Santa Monica, Los Angeles, California, United States","34.0194704, -118.491227"
"Eastmont, Los Angeles, California, United States","34.0236236, -118.1550707"
"East Los Angeles, Los Angeles, California, United States","34.0239015, -118.172015"
"Socorro, Socorro, New Mexico, United States","34.0572858, -106.8930799"
"Rosemead, Los Angeles, California, United States","34.0676169, -118.0879763"
"Beverly Hills, Los Angeles, California, United States","34.0696501, -118.3963062"
"Baldwin Park, Los Angeles, California, United States","34.0854739, -117.9611761"
"Alhambra, Los Angeles, California, United States","34.093042, -118.12706"
"Amity, Apache, Arizona, United States","34.1000267, -109.3334696"
"Young, Gila, Arizona, United States","34.106747, -110.9402423"
"Eagar, Apache, Arizona, United States","34.1111581, -109.291475"
"Lankershim, Los Angeles, California, United States","34.1278494, -118.3650285"
"Springerville, Apache, Arizona, United States","34.1340599, -109.286008"
"Pinetop-Lakeside, Navajo, Arizona, United States","34.1448702, -109.9584743"
"Glendale, Los Angeles, California, United States","34.1469416, -118.2478471"
"Pasadena, Los Angeles, California, United States","34.1476507, -118.144155"
"Lakeside, Navajo, Arizona, United States","34.154488, -109.9734405"
"Burbank, Los Angeles, California, United States","34.1812089, -118.307201"
"Show Low, Navajo, Arizona, United States","34.2542084, -110.029832"
"Vernon, Apache, Arizona, United States","34.2575361, -109.6928828"
"Linden, Navajo, Arizona, United States","34.2602305, -110.1544759"
"Pinedale, Navajo, Arizona, United States","34.3075397, -110.2515054"
"Clay Springs, Navajo, Arizona, United States","34.3617055, -110.2953961"
"Pine, Gila, Arizona, United States","34.4014435, -111.5070623"
"Shumway, Navajo, Arizona, United States","34.4061497, -110.0728917"
"Heber-Overgaard, Navajo, Arizona, United States","34.4082908, -110.5622128"
"Santa Barbara, Santa Barbara, California, United States","34.4221319, -119.702667"
"Taylor, Navajo, Arizona, United States","34.4647338, -110.091655"
"Concho, Apache, Arizona, United States","34.4753132, -109.6059405"
"Skull Valley, Yavapai, Arizona, United States","34.5053024, -112.6854541"
"Snowflake, Navajo, Arizona, United States","34.5114704, -110.079608"
"Saint Johns, Apache, Arizona, United States","34.5205422, -109.3783429"
"Prescott, Yavapai, Arizona, United States","34.539984, -112.468812"
"Fort Sill, Comanche, Oklahoma, United States","34.7027408, -98.5074309"
"Chino Valley, Yavapai, Arizona, United States","34.7575227, -112.45378"
"Woodruff, Navajo, Arizona, United States","34.7815466, -110.0428732"
"Holbrook, Navajo, Arizona, United States","34.9037105, -110.1593261"
"Bannock, San Bernardino, California, United States","34.9366671, -114.8638606"
"Joseph City, Navajo, Arizona, United States","34.9558585, -110.3339982"
"Winslow, Navajo, Arizona, United States","35.016919, -110.7257555"
"Albuquerque, Bernalillo, New Mexico, United States","35.0841034, -106.650985"
"Ramah, McKinley, New Mexico, United States","35.1439075, -108.4796563"
"Flagstaff, Coconino, Arizona, United States","35.1987522, -111.651822"
"Bluewater, Cibola, New Mexico, United States","35.2550341, -107.9856167"
"Bakersfield, Kern, California, United States","35.3738712, -119.019463"
"Goldsboro, Wayne, North Carolina, United States","35.3848841, -77.9927651"
"Allison, McKinley, New Mexico, United States","35.5242654, -108.7850626"
"Boulder City, Clark, Nevada, United States","35.9776606, -114.8377351"
"Charleston, Forsyth, North Carolina, United States","36.0677188, -80.2751159"
"Tuba City, Coconino, Arizona, United States","36.123307, -111.2421876"
"Las Vegas, Clark, Nevada, United States","36.171697, -115.1463536"
"Visalia, Tulare, California, United States","36.3302284, -119.292058"
"Mount Trumbull, Mohave, Arizona, United States","36.4119253, -113.3254964"
"Overton, Clark, Nevada, United States","36.5380725, -114.4436274"
"Logandale, Clark, Nevada, United States","36.5966367, -114.484155"
"Salinas, Monterey, California, United States","36.6744117, -121.655037"
"Bloomfield, San Juan, New Mexico, United States","36.7111165, -107.984511"
"Farmington, San Juan, New Mexico, United States","36.7291152, -108.205445"
"Kirtland, San Juan, New Mexico, United States","36.7342984, -108.360161"
"Fruitland, San Juan, New Mexico, United States","36.7391682, -108.395635"
"Fresno, Fresno, California, United States","36.7394421, -119.78483"
"Moapa, Clark, Nevada, United States","36.75295, -114.648614"
"Bunkerville, Clark, Nevada, United States","36.771772, -114.126766"
"Mesquite, Clark, Nevada, United States","36.8035642, -114.067141"
"Aztec, San Juan, New Mexico, United States","36.8220629, -107.992899"
"Norfolk, Virginia, United States","36.8493695, -76.2899539"
"Auckland, Auckland, New Zealand","-36.852095, 174.7631803"
"Lees Ferry, Coconino, Arizona, United States","36.8662546, -111.586522"
"Littlefield, Mohave, Arizona, United States","36.8871992, -113.9296876"
"Moccasin, Mohave, Arizona, United States","36.9091184, -112.7567103"
"Cane Beds, Mohave, Arizona, United States","36.9463736, -112.8943777"
"Fredonia, Coconino, Arizona, United States","36.949932, -112.5253435"
"Eastdale, Costilla, Colorado, United States","37.02863, -105.6508463"
"La Plata, La Plata, Colorado, United States","37.0381107, -108.1653249"
"Kanab, Kane, Utah, United States","37.0481715, -112.5285237"
"Antonito, Conejos, Colorado, United States","37.079179, -106.008632"
"Johnson, Kane, Utah, United States","37.0864261, -112.3694133"
"St George, Washington, Utah, United States","37.104153, -113.584131"
"Middleton, Washington, Utah, United States","37.1144261, -113.5366244"
"Washington, Washington, Utah, United States","37.1305373, -113.5082867"
"Santa Clara, Washington, Utah, United States","37.1330265, -113.65414"
"Hamblin, Washington, Utah, United States","37.1337355, -113.661414"
"Kline, La Plata, Colorado, United States","37.1441668, -108.1195189"
"Los Cerritos, Conejos, Colorado, United States","37.1483453, -105.9108539"
"Rockville, Washington, Utah, United States","37.1610939, -113.038274"
"Grafton, Washington, Utah, United States","37.1668736, -113.0818225"
"Ivins, Washington, Utah, United States","37.1685907, -113.6794057"
"Romeo, Conejos, Colorado, United States","37.1722327, -105.9853004"
"Manassa, Conejos, Colorado, United States","37.1741778, -105.9375215"
"Hurricane, Washington, Utah, United States","37.1750272, -113.289888"
"Springdale, Washington, Utah, United States","37.1888714, -112.998551"
"Breen, La Plata, Colorado, United States","37.1925004, -108.0778507"
"Virgin, Washington, Utah, United States","37.201902, -113.187854"
"La Verkin, Washington, Utah, United States","37.2019399, -113.270673"
"Harrisburg, Washington, Utah, United States","37.2074974, -113.3930039"
"Red Mesa, La Plata, Colorado, United States","37.2127786, -108.0528497"
"Leeds, Washington, Utah, United States","37.2354005, -113.361421"
"Mount Carmel, Kane, Utah, United States","37.247206, -112.664377"
"Paria, Kane, Utah, United States","37.2479883, -111.9480611"
"Toquerville, Washington, Utah, United States","37.2518164, -113.2853988"
"Sanford, Conejos, Colorado, United States","37.2583426, -105.9047442"
"La Jara, Conejos, Colorado, United States","37.2750084, -105.960301"
"Orderville, Kane, Utah, United States","37.2756009, -112.638126"
"Durango, La Plata, Colorado, United States","37.2769484, -107.8766"
"Richfield, Conejos, Colorado, United States","37.2777863, -105.9450229"
"Gunlock, Washington, Utah, United States","37.2860894, -113.7632989"
"Bluff, San Juan, Utah, United States","37.2942295, -109.5511803"
"Glendale, Kane, Utah, United States","37.3177609, -112.597154"
"Morganville, Conejos, Colorado, United States","37.3344568, -106.006498"
"San Jose, Santa Clara, California, United States","37.3361663, -121.890591"
"Veyo, Washington, Utah, United States","37.3401545, -113.6887242"
"Mancos, Montezuma, Colorado, United States","37.345192, -108.2890013"
"Cortez, Montezuma, Colorado, United States","37.3494528, -108.584073"
"Platoro, Conejos, Colorado, United States","37.3519502, -106.5328145"
"Alamo, Lincoln, Nevada, United States","37.3649613, -115.1644614"
"Pine Valley, Washington, Utah, United States","37.3897453, -113.5115062"
"Grass Valley, Washington, Utah, United States","37.4137828, -113.4978527"
"Alton, Kane, Utah, United States","37.4389409, -112.483925"
"Palo Alto, Santa Clara, California, United States","37.4443293, -122.1598465"
"Alamosa, Alamosa, Colorado, United States","37.4701846, -105.8624658"
"New Harmony, Washington, Utah, United States","37.4794243, -113.309673"
"Georgetown, Kane, Utah, United States","37.5355399, -112.0549112"
"Kanarraville, Iron, Utah, United States","37.5373427, -113.182886"
"Henrieville, Garfield, Utah, United States","37.5627625, -111.994353"
"Cannonville, Garfield, Utah, United States","37.5669286, -112.0538"
"Pinto, Washington, Utah, United States","37.570551, -113.521494"
"Enterprise, Washington, Utah, United States","37.5735867, -113.719132"
"Hebron, Washington, Utah, United States","37.5767527, -113.8192259"
"Burlingame, San Mateo, California, United States","37.5780965, -122.3473099"
"Caliente, Lincoln, Nevada, United States","37.6149601, -114.5105439"
"Blanding, San Juan, Utah, United States","37.6239617, -109.4780205"
"Tropic, Garfield, Utah, United States","37.6252615, -112.082135"
"Grayson, San Juan, Utah, United States","37.6270864, -109.4722191"
"Hamiltons Fort, Iron, Utah, United States","37.6284072, -113.1317142"
"Modesto, Stanislaus, California, United States","37.6393419, -120.9968892"
"Hatch, Garfield, Utah, United States","37.6497019, -112.434373"
"Newcastle, Iron, Utah, United States","37.6666413, -113.549406"
"Cedar City, Iron, Utah, United States","37.6774238, -113.061827"
"Iron City, Iron, Utah, United States","37.6827892, -113.0626794"
"Henderson, Garfield, Utah, United States","37.7113723, -112.078526"
"Hillsdale, Garfield, Utah, United States","37.7191459, -112.3821496"
"Enoch, Iron, Utah, United States","37.7645078, -113.0443515"
"Escalante, Garfield, Utah, United States","37.7703057, -111.602166"
"San Francisco, San Francisco, California, United States","37.776547, -122.3948371"
"Fort Johnson, Iron, Utah, United States","37.7791429, -113.032171"
"Verdure, San Juan, Utah, United States","37.7858284, -109.3487287"
"Panaca, Lincoln, Nevada, United States","37.79052, -114.389433"
"Summit, Iron, Utah, United States","37.8011751, -112.9363332"
"Oakland, Alameda, California, United States","37.8044557, -122.271356"
"Whitman, Logan, West Virginia, United States","37.8134371, -82.0245704"
"Panguitch, Garfield, Utah, United States","37.8228204, -112.4357561"
"Widtsoe, Garfield, Utah, United States","37.8312109, -111.9956035"
"Parowan, Iron, Utah, United States","37.8421975, -112.8279996"
"Belvedere, Marin, California, United States","37.8663951, -122.462699"
"Berkeley, Alameda, California, United States","37.8708393, -122.272863"
"Monticello, San Juan, Utah, United States","37.8750565, -109.3403148"
"Paragonah, Iron, Utah, United States","37.8858079, -112.77522"
"Boulder, Garfield, Utah, United States","37.9082439, -111.4230613"
"Pioche, Lincoln, Nevada, United States","37.9296851, -114.452214"
"Stockton, San Joaquin, California, United States","37.9577016, -121.290779"
"Coyote, Garfield, Utah, United States","37.9981114, -110.6497814"
"Buckhorn Springs, Iron, Utah, United States","38.0136542, -112.7226222"
"Crockett, Contra Costa, California, United States","38.036666, -122.2053113"
"Antimony, Garfield, Utah, United States","38.1169284, -111.99964"
"Pea Ridge, Washington, Missouri, United States","38.1258813, -91.0420829"
"Circleville, Piute, Utah, United States","38.1716248, -112.2706003"
"Sullivan, Franklin, Missouri, United States","38.2078684, -91.160072"
"Kingston, Piute, Utah, United States","38.208313, -112.187701"
"Minersville, Beaver, Utah, United States","38.2141025, -112.9236549"
"Grover, Wayne, Utah, United States","38.2280366, -111.3498957"
"Notom, Wayne, Utah, United States","38.233314, -111.1184994"
"Junction, Piute, Utah, United States","38.2374788, -112.2199252"
"Angle, Piute, Utah, United States","38.2491504, -111.9765847"
"Greenville, Beaver, Utah, United States","38.2544146, -112.7124431"
"Adamsville, Beaver, Utah, United States","38.2583031, -112.7938352"
"Fallon, Marin, California, United States","38.2746396, -122.9058295"
"Beaver, Beaver, Utah, United States","38.2765305, -112.640278"
"Teasdale, Wayne, Utah, United States","38.2840925, -111.4736015"
"Fruita, Wayne, Utah, United States","38.2855355, -111.246836"
"Torrey, Wayne, Utah, United States","38.2997368, -111.42047"
"La Sal, San Juan, Utah, United States","38.301831, -109.2832607"
"Caineville, Wayne, Utah, United States","38.3330359, -111.0187738"
"Bicknell, Wayne, Utah, United States","38.3401205, -111.544867"
"Giles, Wayne, Utah, United States","38.3686562, -110.8446897"
"McPherson, McPherson, Kansas, United States","38.3708415, -97.6642087"
"Hanksville, Wayne, Utah, United States","38.3737755, -110.706401"
"Rabbit Valley, Wayne, Utah, United States","38.3879429, -111.6292552"
"Milford, Beaver, Utah, United States","38.3969108, -113.010789"
"Lyman, Wayne, Utah, United States","38.3969236, -111.589627"
"Loa, Wayne, Utah, United States","38.4027571, -111.642962"
"Greenwich, Piute, Utah, United States","38.4310911, -111.9229692"
"Marysvale, Piute, Utah, United States","38.4494204, -112.230202"
"Fremont, Wayne, Utah, United States","38.4575302, -111.615761"
"Koosharem, Sevier, Utah, United States","38.5102559, -111.881301"
"Smyths, Beaver, Utah, United States","38.5638528, -112.991067"
"Burrville, Sevier, Utah, United States","38.5708091, -111.863525"
"Moab, Grand, Utah, United States","38.5738096, -109.546214"
"Sacramento, Sacramento, California, United States","38.5810606, -121.493895"
"Sevier, Sevier, Utah, United States","38.5863615, -112.2582612"
"Joseph, Sevier, Utah, United States","38.6244833, -112.218179"
"Monroe, Sevier, Utah, United States","38.6321489, -112.121326"
"Elsinore, Sevier, Utah, United States","38.6830837, -112.148274"
"Central Valley, Sevier, Utah, United States","38.7038587, -112.098814"
"Annabella, Sevier, Utah, United States","38.7091363, -112.059924"
"Roseville, Placer, California, United States","38.7521235, -121.2880059"
"Glenwood, Sevier, Utah, United States","38.7633008, -111.990202"
"Richfield, Sevier, Utah, United States","38.7724674, -112.084094"
"Venice, Sevier, Utah, United States","38.8002442, -112.0063153"
"Kanosh, Millard, Utah, United States","38.8013558, -112.437438"
"Hatton, Millard, Utah, United States","38.8388549, -112.4566063"
"Sigurd, Sevier, Utah, United States","38.8405211, -111.967703"
"Shoshone, White Pine, Nevada, United States","38.8485593, -114.4077757"
"Lund, White Pine, Nevada, United States","38.858621, -115.007884"
"Vermillion, Sevier, Utah, United States","38.8607982, -111.9652043"
"Meadow, Millard, Utah, United States","38.8860548, -112.408169"
"Washington, District Of Columbia, United States","38.8950368, -77.0365427"
"Preston, White Pine, Nevada, United States","38.9109512, -115.060691"
"Wallace, Wallace, Kansas, United States","38.9144188, -101.5925304"
"Aurora, Sevier, Utah, United States","38.9221856, -111.934093"
"Emery, Emery, Utah, United States","38.9235316, -111.248137"
"Somerset, Gunnison, Colorado, United States","38.9261905, -107.4703081"
"Cove Creek, Millard, Utah, United States","38.9321992, -112.2296029"
"Salina, Sevier, Utah, United States","38.957742, -111.859984"
"Fillmore, Millard, Utah, United States","38.9688118, -112.323587"
"Moore, Emery, Utah, United States","38.9697514, -111.15924"
"Flowell, Millard, Utah, United States","38.9791805, -112.428685"
"Chevy Chase, Montgomery, Maryland, United States","38.9813699, -77.0849245"
"Redmond, Sevier, Utah, United States","39.0060248, -111.861877"
"Elgin, Grand, Utah, United States","39.0157751, -110.1347313"
"Axtell, Sanpete, Utah, United States","39.0552395, -111.8218691"
"Grand Junction, Mesa, Colorado, United States","39.0672568, -108.56448"
"Independence, Jackson, Missouri, United States","39.0924792, -94.4137923"
"Ferron, Emery, Utah, United States","39.0935829, -111.133224"
"Holden, Millard, Utah, United States","39.0988507, -112.27077"
"Kansas City, Jackson, Missouri, United States","39.100105, -94.5781416"
"Mayfield, Sanpete, Utah, United States","39.1141292, -111.7107536"
"Centerfield, Sanpete, Utah, United States","39.1252392, -111.819091"
"Clawson, Emery, Utah, United States","39.1330266, -111.097113"
"Yuba City, Sutter, California, United States","39.1404477, -121.6169108"
"Wabuska, Lyon, Nevada, United States","39.1438073, -119.1832104"
"Marysville, Yuba, California, United States","39.1457247, -121.5913516"
"Gunnison, Sanpete, Utah, United States","39.1552391, -111.818258"
"Sutter, Sutter, California, United States","39.156868, -121.7495934"
"Sterling, Sanpete, Utah, United States","39.1935732, -111.69242"
"Castle Dale, Emery, Utah, United States","39.212192, -111.019613"
"Fayette, Sanpete, Utah, United States","39.2252386, -111.856593"
"Orangeville, Emery, Utah, United States","39.227191, -111.053502"
"Price, Emery, Utah, United States","39.2361017, -110.228168"
"Scipio, Millard, Utah, United States","39.2455219, -112.1042955"
"Ely, White Pine, Nevada, United States","39.2480588, -114.891718"
"Nevada City, Nevada, California, United States","39.2625993, -121.0187304"
"Manti, Sanpete, Utah, United States","39.2682951, -111.636862"
"Deseret, Millard, Utah, United States","39.2868927, -112.6529201"
"Oasis, Millard, Utah, United States","39.2938455, -112.6282819"
"Lawrence, Emery, Utah, United States","39.295525, -110.9290551"
"Leavenworth, Leavenworth, Kansas, United States","39.3113257, -94.922759"
"Hinckley, Millard, Utah, United States","39.3249554, -112.6710613"
"Huntington, Emery, Utah, United States","39.3266354, -110.964611"
"Cleveland, Emery, Utah, United States","39.3489213, -110.8517022"
"Delta, Millard, Utah, United States","39.3521777, -112.57717"
"Ephraim, Sanpete, Utah, United States","39.3596842, -111.586305"
"Gridley, Butte, California, United States","39.3637773, -121.693583"
"Desert Lake, Emery, Utah, United States","39.3737117, -110.7837072"
"Oak City, Millard, Utah, United States","39.3747876, -112.335844"
"Sutherland, Millard, Utah, United States","39.3888429, -112.6335609"
"Franktown, Douglas, Colorado, United States","39.3894185, -104.7479671"
"Elmo, Emery, Utah, United States","39.389691, -110.815161"
"Abraham, Millard, Utah, United States","39.3966197, -112.7180077"
"Green River, Carbon, Utah, United States","39.3986395, -110.0181483"
"McGill, White Pine, Nevada, United States","39.4051875, -114.778721"
"Biggs, Butte, California, United States","39.4123876, -121.712751"
"Mohrland, Emery, Utah, United States","39.4403102, -111.0163529"
"Chester, Sanpete, Utah, United States","39.4754365, -111.5631866"
"Spring City, Sanpete, Utah, United States","39.4824631, -111.496023"
"Fairmont, Marion, West Virginia, United States","39.4850848, -80.1425781"
"Wales, Sanpete, Utah, United States","39.4869056, -111.635196"
"Oroville, Butte, California, United States","39.5137752, -121.556359"
"Lynndyl, Millard, Utah, United States","39.519119, -112.375778"
"Juab, Juab, Utah, United States","39.5196793, -111.9404861"
"Moroni, Sanpete, Utah, United States","39.5249615, -111.590472"
"Reno, Washoe, Nevada, United States","39.5261206, -119.8126581"
"Waynesville, Wayne Township, Warren, Ohio, United States","39.5297824, -84.086601"
"Leamington, Millard, Utah, United States","39.5346744, -112.283554"
"Sparks, Washoe, Nevada, United States","39.5404679, -119.7487235"
"Freedom, Sanpete, Utah, United States","39.5424605, -111.6493644"
"Wellington, Carbon, Utah, United States","39.5424659, -110.735434"
"Mount Pleasant, Sanpete, Utah, United States","39.5469073, -111.455465"
"Sunnyside, Carbon, Utah, United States","39.5513553, -110.387932"
"Levan, Juab, Utah, United States","39.5585686, -111.861873"
"Fairview, Sanpete, Utah, United States","39.626351, -111.439632"
"Fountain Green, Sanpete, Utah, United States","39.6299598, -111.635199"
