City,Coordinates
"Fairview, Lincoln, Wyoming, United States","42.6861815, -110.9865827"
"Jerome, Jerome, Idaho, United States","42.7238458, -114.518808"
"Afton, Lincoln, Wyoming, United States","42.7252774, -110.933402"
"Racine, Racine, Wisconsin, United States","42.7313756, -87.7834769"
"Neeley, Power, Idaho, United States","42.7335225, -112.9149944"
"Wendell, Gooding, Idaho, United States","42.7757368, -114.7042168"
"American Falls, Power, Idaho, United States","42.7860227, -112.854437"
"Portneuf, Bannock, Idaho, United States","42.7949145, -112.3635862"
"Grover, Lincoln, Wyoming, United States","42.7956045, -110.9294513"
"Auburn, Lincoln, Wyoming, United States","42.795842, -111.0107737"
"Inkom, Bannock, Idaho, United States","42.7963041, -112.254137"
"Pebble, Bannock, Idaho, United States","42.8119638, -112.3973212"
"Hatch, Caribou, Idaho, United States","42.8193625, -111.8521789"
"Common, Bannock, Idaho, United States","42.8378585, -112.4087193"
"Bannock, Power, Idaho, United States","42.8613016, -112.7227673"
"Pocatello, Bannock, Idaho, United States","42.8620287, -112.450627"
"Chesterfield, Caribou, Idaho, United States","42.8668622, -111.9019032"
"Bedford, Lincoln, Wyoming, United States","42.899148, -110.922502"
"Merrill, Bannock, Idaho, United States","42.9178875, -112.4709697"
"Thayne, Lincoln, Wyoming, United States","42.9208143, -111.002469"
"Gooding, Gooding, Idaho, United States","42.9389067, -114.7131938"
"Aberdeen, Bingham, Idaho, United States","42.9445915, -112.838322"
"Wayan, Caribou, Idaho, United States","42.9782525, -111.376888"
"Freedom, Lincoln, Wyoming, United States","42.9826645, -111.0438995"
"Marley, Lincoln, Idaho, United States","43.0154615, -114.2311487"
"Glen Huon, Tasmania, Australia","-43.02753, 146.96052"
"Etna, Lincoln, Wyoming, United States","43.0340785, -111.016102"
"Sterling, Bingham, Idaho, United States","43.0379685, -112.7316566"
"Gray, Bonneville, Idaho, United States","43.0499186, -111.3791113"
"Richfield, Lincoln, Idaho, United States","43.0530802, -114.1524662"
"Palmyra, Wayne, New York, United States","43.0623754, -77.2347245"
"Milwaukee, Milwaukee, Wisconsin, United States","43.0775181, -87.8812647"
"Springfield, Bingham, Idaho, United States","43.08158, -112.6819324"
"Royalton, Niagara, New York, United States","43.1535554, -78.5467299"
"Rich, Bingham, Idaho, United States","43.1799717, -112.3497506"
"Thomas, Bingham, Idaho, United States","43.182692, -112.5047045"
"Presto, Bingham, Idaho, United States","43.1871972, -112.0464515"
"Blackfoot, Bingham, Idaho, United States","43.190039, -112.348357"
"Riverside, Bingham, Idaho, United States","43.1968591, -112.4352579"
"Groveland, Bingham, Idaho, United States","43.2199151, -112.3724783"
"Moreland, Bingham, Idaho, United States","43.2226924, -112.4424805"
"Wapello, Bingham, Idaho, United States","43.2468603, -112.2569193"
"Rose, Bingham, Idaho, United States","43.2543597, -112.3260882"
"Hamilton, Ontario, Canada","43.2560802, -79.8728583"
"Kimball, Bingham, Idaho, United States","43.2735269, -112.2194185"
"Firth, Bingham, Idaho, United States","43.305193, -112.183029"
"Picabo, Blaine, Idaho, United States","43.3057385, -114.0678124"
"Carey, Blaine, Idaho, United States","43.307683, -113.944752"
"Goshen, Bingham, Idaho, United States","43.3096385, -112.083304"
"Basalt, Bingham, Idaho, United States","43.315471, -112.164417"
"Fairfield, Camas, Idaho, United States","43.347039, -114.793247"
"Palisades, Bonneville, Idaho, United States","43.3520054, -111.2178711"
"Gannett, Blaine, Idaho, United States","43.3599057, -114.175873"
"Soldier, Camas, Idaho, United States","43.3701786, -114.7917283"
"Melba, Canyon, Idaho, United States","43.3732565, -116.5304946"
"Jameston, Bingham, Idaho, United States","43.3735265, -112.0585817"
"Shelley, Bingham, Idaho, United States","43.37998, -112.126914"
"Irwin, Bonneville, Idaho, United States","43.4073816, -111.2961481"
"Woodville, Bingham, Idaho, United States","43.4168586, -112.1427507"
"Bellevue, Blaine, Idaho, United States","43.463518, -114.2606"
"Ammon, Bonneville, Idaho, United States","43.4768028, -111.9641319"
"Jackson, Teton, Wyoming, United States","43.479965, -110.761815"
"Idaho Falls, Bonneville, Idaho, United States","43.4887907, -112.03628"
"Kuna, Ada, Idaho, United States","43.4918307, -116.420122"
"Lincoln, Bonneville, Idaho, United States","43.5137688, -111.9629858"
"Hailey, Blaine, Idaho, United States","43.519629, -114.315325"
"Iona, Bonneville, Idaho, United States","43.526303, -111.933024"
"Cheney, Teton, Wyoming, United States","43.531224, -110.8371911"
"Antelope, Bonneville, Idaho, United States","43.5475129, -111.4604554"
"Osgood, Bonneville, Idaho, United States","43.5682809, -112.1028938"
"Nampa, Canyon, Idaho, United States","43.5737361, -116.559631"
"Ucon, Bonneville, Idaho, United States","43.591956, -111.963826"
"Victor, Teton, Idaho, United States","43.6025939, -111.111309"
"Meridian, Ada, Idaho, United States","43.6086295, -116.392326"
"Milo, Bonneville, Idaho, United States","43.6107461, -111.8838559"
"Boise, Ada, Idaho, United States","43.6166163, -116.200886"
"Coltman, Bonneville, Idaho, United States","43.6176899, -112.0121929"
"Poplar, Bonneville, Idaho, United States","43.619669, -111.685796"
"Cedron, Teton, Idaho, United States","43.6221394, -111.1910563"
"Ririe, Jefferson, Idaho, United States","43.63131, -111.773593"
"Garfield, Jefferson, Idaho, United States","43.6351899, -111.9638583"
"Arco, Butte, Idaho, United States","43.635336, -113.299953"
"Grant, Jefferson, Idaho, United States","43.640745, -112.0133041"
"Thermopolis, Hot Springs, Wyoming, United States","43.646067, -108.212043"
"Rigby, Jefferson, Idaho, United States","43.6751937, -111.918002"
"Sunnydell, Madison, Idaho, United States","43.6843572, -111.7549636"
"Lost River, Butte, Idaho, United States","43.6890685, -113.3713992"
"Bates, Teton, Idaho, United States","43.6915828, -111.200779"
"Darby, Teton, Idaho, United States","43.6940874, -111.0660535"
"Lewisville, Jefferson, Idaho, United States","43.695744, -112.010526"
"Herbert, Madison, Idaho, United States","43.7063024, -111.6599603"
"Archer, Madison, Idaho, United States","43.7135234, -111.7827422"
"Roberts, Jefferson, Idaho, United States","43.720188, -112.126363"
"Menan, Jefferson, Idaho, United States","43.720744, -111.98997"
"Driggs, Teton, Idaho, United States","43.7231753, -111.110887"
"Lorenzo, Jefferson, Idaho, United States","43.7272843, -111.8760074"
"Annis, Jefferson, Idaho, United States","43.7282443, -111.9360799"
"Canyon Creek, Madison, Idaho, United States","43.7335767, -111.4631122"
"Moore, Butte, Idaho, United States","43.735735, -113.366399"
"Lyman, Madison, Idaho, United States","43.7390785, -111.8177433"
"Alta, Teton, Wyoming, United States","43.7483095, -110.9496215"
"Thornton, Madison, Idaho, United States","43.7582447, -111.8452442"
"Independence, Madison, Idaho, United States","43.767689, -111.8646893"
"Burton, Madison, Idaho, United States","43.7974112, -111.8580228"
"Clawson, Teton, Idaho, United States","43.7979744, -111.1107773"
"Darlington, Butte, Idaho, United States","43.8135138, -113.4147348"
"Tetonia, Teton, Idaho, United States","43.8144799, -111.160207"
"Rexburg, Madison, Idaho, United States","43.8235163, -111.787022"
"Haden, Teton, Idaho, United States","43.8243956, -111.1991667"
"Bramwell, Gem, Idaho, United States","43.838219, -116.582915"
"Terreton, Jefferson, Idaho, United States","43.8415749, -112.436372"
"Hibbard, Madison, Idaho, United States","43.855189, -111.8385784"
"Leslie, Custer, Idaho, United States","43.8664494, -113.4671817"
"Sugar City, Madison, Idaho, United States","43.8730202, -111.7479471"
"Emmett, Gem, Idaho, United States","43.8734979, -116.4993012"
"Salem, Madison, Idaho, United States","43.8765782, -111.7730207"
"Clementsville, Teton, Idaho, United States","43.8765806, -111.3699515"
"Nyssa, Malheur, Oregon, United States","43.8768289, -116.9948804"
"Newdale, Fremont, Idaho, United States","43.883246, -111.606348"
"Teton, Fremont, Idaho, United States","43.8866747, -111.6681634"
"Letha, Gem, Idaho, United States","43.8943306, -116.6476414"
"Wilford, Fremont, Idaho, United States","43.91269, -111.677739"
"Mackay, Custer, Idaho, United States","43.91463, -113.613355"
"Egin, Fremont, Idaho, United States","43.9365776, -111.837468"
"Heman, Fremont, Idaho, United States","43.9563, -111.7974667"
"Parker, Fremont, Idaho, United States","43.9594911, -111.7581744"
"St. Anthony, Fremont, Idaho, United States","43.966301, -111.682185"
"Twin Groves, Fremont, Idaho, United States","43.9743567, -111.6277384"
"Farnum, Fremont, Idaho, United States","43.9985246, -111.4096757"
"Chester, Fremont, Idaho, United States","43.9991318, -111.5715794"
"Drummond, Fremont, Idaho, United States","44.000094, -111.3438964"
"Worland, Washakie, Wyoming, United States","44.0168463, -107.955772"
"Rochester, Olmsted, Minnesota, United States","44.0234387, -92.4630182"
"Ontario, Malheur, Oregon, United States","44.0265525, -116.9629378"
"Bend, Deschutes, Oregon, United States","44.0581728, -121.3153096"
"Marysville, Fremont, Idaho, United States","44.071303, -111.4202318"
"Ashton, Fremont, Idaho, United States","44.071581, -111.448288"
"Rapid City, Pennington, South Dakota, United States","44.0806041, -103.228023"
"Ora, Fremont, Idaho, United States","44.0860247, -111.5332912"
"Meeteetse, Park, Wyoming, United States","44.157177, -108.871519"
"Ola, Gem, Idaho, United States","44.1779606, -116.2929369"
"Weiser, Washington, Idaho, United States","44.2454664, -116.9702376"
"Basin, Big Horn, Wyoming, United States","44.379956, -108.038989"
"Kilgore, Clark, Idaho, United States","44.4021358, -111.8938619"
"Otto, Big Horn, Wyoming, United States","44.4032892, -108.2742747"
"Island Park, Fremont, Idaho, United States","44.423807, -111.371422"
"Burlington, Big Horn, Wyoming, United States","44.4470583, -108.4317912"
"Cody, Park, Wyoming, United States","44.5263107, -109.056392"
"Shell, Big Horn, Wyoming, United States","44.5355158, -107.7798127"
"Austin, Grant, Oregon, United States","44.6034808, -118.4974051"
"Lima, Beaverhead, Montana, United States","44.6361718, -112.5912118"
"Penrose, Big Horn, Wyoming, United States","44.7325, -108.5859484"
"Baker City, Baker, Oregon, United States","44.7748748, -117.834384"
"Garland, Park, Wyoming, United States","44.779385, -108.6536711"
"Byron, Big Horn, Wyoming, United States","44.796341, -108.50651"
"Lovell, Big Horn, Wyoming, United States","44.8376366, -108.3935565"
"Kane, Big Horn, Wyoming, United States","44.8435662, -108.2028883"
"Cowley, Big Horn, Wyoming, United States","44.883286, -108.469565"
"Saint Paul, Ramsey, Minnesota, United States","44.9497487, -93.0931028"
"Minneapolis, Hennepin, Minnesota, United States","44.9772995, -93.2654692"
"Salmon, Lemhi, Idaho, United States","45.1759213, -113.895773"
"Union, Union, Oregon, United States","45.2095159, -117.865369"
"Cove, Union, Oregon, United States","45.2965257, -117.807987"
"La Grande, Union, Oregon, United States","45.3246068, -118.0878695"
"Alicel, Union, Oregon, United States","45.405735, -117.9748915"
"Bull Run, Clackamas, Oregon, United States","45.4299239, -122.2312769"
"Imbler, Union, Oregon, United States","45.4595816, -117.9621587"
"Portland, Multnomah, Oregon, United States","45.5202471, -122.674194"
"Elgin, Union, Oregon, United States","45.5649887, -117.9175706"
"Hood River, Hood River, Oregon, United States","45.7087902, -121.512372"
"St. Helens, Columbia, Oregon, United States","45.8640034, -122.8064922"
"Butte, Silver Bow, Montana, United States","46.0131505, -112.536508"
"Hamilton, Ravalli, Montana, United States","46.2472045, -114.1555462"
"Toppenish, Yakima, Washington, United States","46.3775015, -120.308938"
"Lausanne, Vaud, Switzerland","46.5218269, 6.6327025"
"Samedan, Graubünden, Switzerland","46.5332403, 9.874586"
"Helena, Lewis and Clark, Montana, United States","46.5927425, -112.036277"
"Yakima, Yakima, Washington, United States","46.601557, -120.510842"
"Charlo, Missoula, Montana, United States","46.8882354, -114.0078094"
"Olympia, Thurston, Washington, United States","47.0451022, -122.8950075"
"Tacoma, Pierce, Washington, United States","47.2455013, -122.438329"
"Kent, King, Washington, United States","47.3826903, -122.2270272"
"Worley, Kootenai, Idaho, United States","47.400736, -116.917124"
"Renton, King, Washington, United States","47.4799078, -122.2034496"
"Great Falls, Cascade, Montana, United States","47.5048851, -111.29189"
"Basel, Basel-Stadt, Switzerland","47.5581077, 7.5878261"
"Vaughn, Cascade, Montana, United States","47.5605132, -111.5458075"
"Seattle, King, Washington, United States","47.6038321, -122.330062"
"Queen Anne, King, Washington, United States","47.6394805, -122.3607453"
"Spokane, Spokane, Washington, United States","47.6571934, -117.42351"
"Coeur d'Alene, Kootenai, Idaho, United States","47.6742994, -116.7811531"
"Rathdrum, Kootenai, Idaho, United States","47.8111504, -116.896931"
"Bynum, Teton, Montana, United States","47.9791212, -112.3116955"
"Everett, Snohomish, Washington, United States","47.9793437, -122.2127011"
"Glasgow, Valley, Montana, United States","48.1955915, -106.635556"
"Harlem, Blaine, Montana, United States","48.532501, -108.784903"
"Zurich, Blaine, Montana, United States","48.5844436, -109.0304432"
"Chinook, Blaine, Montana, United States","48.590132, -109.231823"
"Bellingham, Whatcom, Washington, United States","48.7544012, -122.478836"
"Cardston, Cardston County, Alberta, Canada","49.0004149, -112.7880266"
"Aetna, Cardston County, Alberta, Canada","49.1329126, -113.242268"
"Mountain View, Cardston County, Alberta, Canada","49.133333, -113.6"
"Leavitt, Cardston County, Alberta, Canada","49.1747531, -113.4540041"
"Woolford, Alberta, Canada","49.1792314, -113.1907538"
"Saarbrücken, Saarland, Germany","49.234362, 6.996379"
"Vancouver, British Columbia, Canada","49.2608724, -123.113952"
"Spring Coulee, Cardston County, Alberta, Canada","49.3347591, -113.0551933"
"Magrath, Cardston County, Alberta, Canada","49.4047657, -112.8632399"
"Lethbridge, Alberta, Canada","49.6945782, -112.8331033"
"Burdett, County of Forty Mile No. 8, Alberta, Canada","49.8329595, -111.521014"
"Picture Butte, Alberta, Canada","49.8759706, -112.781877"
"Winnipeg, Manitoba, Canada","49.8955367, -97.1384584"
"Whittier, Winnipeg, Manitoba, Canada","49.8987827, -97.1227564"
"Brant, Vulcan County, Alberta, Canada","50.4194819, -113.5410668"
"Frankburg, Foothills County, Alberta, Canada","50.5293049, -113.6437408"
"Chemnitz, Saxony, Germany","50.8323531, 12.918914"
"Southampton, Hampshire, England, United Kingdom","50.8995203, -1.3275406"
"Freiberg, Mittelsachsen, Saxony, Germany","50.9169415, 13.3428889"
"Köln, North Rhine-Westphalia, Germany","50.938361, 6.959974"
"Calgary, Alberta, Canada","51.0456064, -114.057541"
"Elberfeld, Wuppertal, North Rhine-Westphalia, Germany","51.2490703, 7.1514073"
"Trowbridge, Wiltshire, England, United Kingdom","51.3161455, -2.2024323"
"Cardiff, Wales, United Kingdom","51.4816546, -3.1791934"
"London, England, United Kingdom","51.4893335, -0.1440551"
"Hammersmith, London, England, United Kingdom","51.4920377, -0.2236401"
"Swansea, Swansea, Wales, United Kingdom","51.6195955, -3.9459248"
"Monkton, Pembrokeshire, Wales, United Kingdom","51.6739221, -4.9284562"
"Cwmbach, Glamorgan, Wales, United Kingdom","51.6782196, -3.798884"
"Amroth, Pembrokeshire, Wales, United Kingdom","51.732782, -4.6612136"
"Saint Brides, Pembrokeshire, Wales, United Kingdom","51.7535493, -5.1850747"
"Cwm Celyn, Monmouthshire, Wales, United Kingdom","51.7781539, -3.0192365"
"Haverfordwest, Pembrokeshire, Wales, United Kingdom","51.8021275, -4.9684249"
"Cheltenham, Gloucestershire, England, United Kingdom","51.8995685, -2.0711559"
"Rotterdam, South Holland, Netherlands","51.9244424, 4.47775"
"Birmingham, West Midlands, England, United Kingdom","52.4796992, -1.9026911"
"Berlin, Germany","52.510885, 13.3989367"
"Rathenow, Havelland, Brandenburg, Germany","52.6063703, 12.3382259"
"West Walton, Norfolk, England, United Kingdom","52.6971205, 0.1812038"
"Nottingham, Nottinghamshire, England, United Kingdom","52.9534193, -1.1496461"
"Den Helder, North Holland, Netherlands","52.957976, 4.760279"
"Sutton in Ashfield, Nottinghamshire, England, United Kingdom","53.1252091, -1.2608279"
"Groningen, Groningen, Netherlands","53.2190652, 6.5680077"
"Altona, Hamburg, Germany","53.5864667, 9.7776709"
"Glückstadt, Steinburg, Schleswig-Holstein, Germany","53.787927, 9.4238157"
"Bradford, Yorkshire, England, United Kingdom","53.7944229, -1.7519186"
"Kaliningrad, Kaliningrad, Russia","54.710128, 20.5105838"
"South Shields, Durham, England, United Kingdom","54.7665236, -1.7998427"
"Sovetsk, Kaliningrad, Russia","55.0809688, 21.8882673"
"Malmö, Malmö, Skåne, Sweden","55.6052931, 13.0001566"
"Copenhagen, Copenhagen, Denmark","55.6867243, 12.5700724"
"Lund, Lund, Skåne, Sweden","55.7029296, 13.1929449"
"Paisley, Renfrewshire, Scotland, United Kingdom","55.8455828, -4.4239646"
"Dundee, Scotland, United Kingdom","56.4605938, -2.97019"
"Vrejlev, Hjørring, Nordjylland, Denmark","57.3616437, 10.0019055"
"Stockholm, Stockholm, Sweden","59.3251172, 18.0710935"
"Oslo, Norway","59.9133301, 10.7389701"
"Gävle, Gävleborg, Sweden","60.6750132, 17.1467019"
"Aberdare, Glamorgan, Wales, United Kingdom","51.7164, -3.4526"
"Alameda, Bannock, Idaho, United States","42.8900, -112.4533"
"Alltwen, Glamorgan, Wales, United Kingdom","51.7000, -3.8500"
"Amityville, Babylon, Suffolk, New York, United States","40.6789, -73.4175"
"Amsterdam, North Holland, Netherlands","52.3691, 4.9021"
"Aremark, Viken, Norway","59.2459, 11.6833"
"Austin, Sevier, Utah, United States","38.6722, -112.1208"
"Bancroft, Bannock, Idaho, United States","42.7203, -111.8850"
"Barclay, Lincoln, Utah, United States","40.6833, -111.6333"
"Barnwell, MD of Taber, Alberta, Canada","49.7609, -112.2626"
"Batesville, Tooele, Utah, United States","40.5500, -112.3000"
"Beazer, Cardston County, Alberta, Canada","49.1167, -113.4833"
"Borough of Somerdale, Camden, New Jersey, United States","39.8453, -75.0231"
"Wroc?aw, Lower Silesia, Poland","51.1102, 17.0318"
"Bryan, Bingham, Idaho, United States","43.2333, -112.4667"
"Cottonwood Heights, Salt Lake, Utah, United States","40.6197, -111.8094"
"Bybee, Fremont, Idaho, United States","43.6986, -111.9639"
"Cache, Madison, Idaho, United States","43.7881, -111.1622"
"Caldwell, Canyon, Idaho, United States","43.6631, -116.6864"
"Caldwell, Cardston County, Alberta, Canada","49.1637, -113.6364"
"Castle Gate, Carbon, Utah, United States","39.7278, -110.8667"
"San Antonio, Bexar, Texas, United States","29.4239, -98.4933"
"Cedarview, Duchesne, Utah, United States","40.3603, -110.0422"
"Central, Bannock, Idaho, United States","42.6350, -111.8108"
"Centralia, Lewis, Washington, United States","46.7164, -122.9531"
"Champion, Vulcan County, Alberta, Canada","50.2424, -113.1467"
"Chapin, Fremont, Idaho, United States","43.6506, -111.1100"
"Chicago, Cook, Illinois, United States","41.8853, -87.6338"
"Claresholm, MD of Willow Creek No. 26, Alberta, Canada","50.0333, -113.5833"
"Clark, Jefferson, Idaho, United States","43.6547, -111.8244"
"Clover Valley, Lincoln, Nevada, United States","37.5133, -114.2508"
"Colonia Chuichupa, Chihuahua, Mexico","29.6138, -108.3822"
"Colonia Garcia, Chihuahua, Mexico","29.9750, -108.3373"
"Colonia Morales, Sonora, Mexico","29.4833, -110.2333"
"Colonia Oaxaca, Sonora, Mexico","30.8167, -109.1000"
"Colonia Pacheco, Chihuahua, Mexico","30.0864, -108.3480"
"Colonia San Jose, Sonora, Mexico","30.9000, -109.1167"
"Commerce, Lethbridge County, Alberta, Canada","49.9170, -112.9390"
"Cove, Bannock, Idaho, United States","42.8833, -111.7000"
"Cumberland, Lincoln, Wyoming, United States","41.5994, -110.5790"
"Delhi, Merced, California, United States","37.4322, -120.7785"
"Denver, Denver, Colorado, United States","39.7392, -104.9842"
"Devils Slide, Morgan, Utah, United States","41.0636, -111.5425"
"Douglas Judicial Township, San Joaquin, California, United States","37.9887, -121.0483"
"Dowlais, Glamorgan, Wales, United Kingdom","51.7618, -3.3480"
"Duncan's Retreat, Washington, Utah, United States","37.1833, -113.1333"
"Eagleville, Iron, Utah, United States","37.8600, -113.2800"
"Edmonds, Madison, Idaho, United States","43.9127, -111.8808"
"Ephraim, Conejos, Colorado, United States","37.2167, -105.8833"
"Fir Grove, Cassia, Idaho, United States","43.20677569107772, -114.77794704669377"
"Freedom, Lasselle, Illinois, United States","41.5042, -88.8678"
"Gentile Valley, Franklin, Idaho, United States","42.4103, -111.7358"
"Glenwood, Cardston County, Alberta, Canada","49.3654, -113.5164"
"Grahamstown, Albany, Cape Province, South Africa","-33.3108, 26.5290"
"Grass Creek, Summit, Utah, United States","40.9903, -111.3144"
"Grassy Lake, MD of Taber, Alberta, Canada","49.8273, -111.6985"
"Grovont, Lincoln, Wyoming, United States","43.6450, -110.6633"
"Hagerman, Lincoln, Idaho, United States","42.8122, -114.8978"
"Hanover, Lower Saxony, Germany","52.3914, 9.7756"
"Hartford, Snohomish, Washington, United States","48.0222, -122.0542"
"Hartleyville, Cardston County, Alberta, Canada","49.3648, -113.6093"
"Hill Spring, Cardston County, Alberta, Canada","49.2947, -113.6222"
"Honolulu, Oahu, Hawaii, United States","21.3069, -157.8583"
"Island, Cassia, Idaho, United States","42.3228, -113.9103"
"Kemmerer, Lincoln, Wyoming, United States","41.7925, -110.5369"
"Kimball, Cardston County, Alberta, Canada","49.0833, -113.2000"
"Kingston Fort, Davis, Utah, United States","41.1469, -111.9687"
"Knight, Uinta, Wyoming, United States","41.1881, -110.8494"
"Labelle, Jefferson, Idaho, United States","43.7033, -111.8600"
"Lake View, Tooele, Utah, United States","40.5667, -112.2333"
"Leduc, Alturas, Idaho, United States","43.3292, -114.0650"
"Leorin, Bonneville, Idaho, United States","43.6000, -111.9333"
"Liberty, Uintah, Utah, United States","40.4000, -109.3333"
"Los Angeles, Los Angeles, California, United States","34.0522, -118.2428"
"Machynlleth, Montgomeryshire, Wales, United Kingdom","52.5895, -3.8487"
"Manard Precinct, Blaine, Idaho, United States","43.2000, -114.7833"
"McKinley Township, Ward, North Dakota, United States","48.3333, -101.2583"
"Merthyr Tydfil, Merthyr Tydfil, Wales, United Kingdom","51.7500, -3.3833"
"Midview, Duchesne, Utah, United States","40.1500, -110.2000"
"Miller, Salt Lake, Utah, United States","40.6667, -111.8833"
"Milston, Jackson, Wisconsin, United States","44.1931, -90.6475"
"Molen, Emery, Utah, United States","39.0883, -111.0728"
"Moulton, Cassia, Idaho, United States","42.0183, -113.7639"
"Mount Glen, Union, Oregon, United States","45.3667, -118.0333"
"Mountain Dell, Salt Lake, Utah, United States","40.7775, -111.6861"
"Nantyglo, Blaenau Gwent, Wales, United Kingdom","51.8000, -3.1667"
"Nibley, Union, Oregon, United States","45.3333, -117.8792"
"North Point, Salt Lake, Utah, United States","40.8000, -111.9667"
"Old Fort Harmony, Washington, Utah, United States","37.4806, -113.2425"
"Orton, MD of Willow Creek No. 26, Alberta, Canada","49.7280, -113.2532"
"Otis, Bingham, Idaho, United States","43.0333, -112.7167"
"Ozone, Bonneville, Idaho, United States","43.4117, -111.8342"
"Perry, Franklin, Idaho, United States","42.3572, -111.7117"
"Perry, Fremont, Idaho, United States","43.6500, -111.7833"
"Pine Coulee, MD of Willow Creek No. 26, Alberta, Canada","50.2683, -113.8313"
"Pine Creek, Beaver, Utah, United States","38.3597, -112.4949"
"Plano, Madison, Idaho, United States","43.8911, -111.8908"
"Poe, Logan, Kansas, United States","38.8333, -101.3500"
"Pokagon Township, Cass, Michigan, United States","41.9408, -86.1706"
"Preston, Franklin, Idaho, United States","42.0964, -111.8758"
"Prospect, Bonneville, Idaho, United States","43.6167, -111.8167"
"Purple Springs, MD of Taber, Alberta, Canada","49.8167, -111.8935"
"Ranch, Kane, Utah, United States","37.4500, -112.5167"
"Ranch, Rocky View County, Alberta, Canada","55.0833, -113.8833"
"Ray, Pinal, Arizona, United States","33.1833, -110.9969"
"Raymond, County of Warner No. 5, Alberta, Canada","49.4569, -112.6667"
"Read, Millard, Utah, United States","38.5725, -112.9842"
"Scottsdale, Maricopa, Arizona, United States","33.5092, -111.8983"
"Reliance, Sweetwater, Wyoming, United States","41.6692, -109.1964"
"Rhymney, Monmouthshire, Wales, United Kingdom","51.7599, -3.2856"
"Richville, Apache, Arizona, United States","34.2861, -109.3547"
"Riverside, Riverside, California, United States","33.9841, -117.3769"
"Rudy, Jefferson, Idaho, United States","43.6567, -111.8325"
"Rush Lake, Iron, Utah, United States","37.8621, -113.0496"
"Saint Thomas, Clark, Nevada, United States","36.4658, -114.3694"
"San Bernardino, San Bernardino, California, United States","34.1083, -117.2898"
"Shelton, Jefferson, Idaho, United States","43.6667, -111.9167"
"Shonesburg, Washington, Utah, United States","37.1667, -112.9500"
"Slesvig, FÃ¸llenslev, HolbÃ¦k, Denmark","55.7167, 11.3667"
"Star Valley, Lincoln, Wyoming, United States","43.0500, -111.0100"
"Stateline, Iron, Utah, United States","37.9987, -114.0113"
"Stavely, MD of Willow Creek No. 26, Alberta, Canada","50.1650, -113.6456"
"Stirling, County of Warner No. 5, Alberta, Canada","49.5049, -112.5268"
"Stoddard, Morgan, Utah, United States","41.0669, -111.7106"
"Taber, MD of Taber, Alberta, Canada","49.7833, -112.1500"
"Taylor, Bonneville, Idaho, United States","43.3826, -112.0349"
"Taylorville, Cardston County, Alberta, Canada","49.0333, -113.1167"
"Tilden, Bingham, Idaho, United States","42.9950, -112.7240"
"Toronto, Ontario, Canada","43.6590, -79.3890"
"Trout Creek, Juab, Utah, United States","39.6894, -113.8278"
"Tucson, Pima, Arizona, United States","32.2217, -110.9264"
"Tuttle, Gooding, Idaho, United States","42.8581, -114.8397"
"Twin Butte, MD of Pincher Creek No. 9, Alberta, Canada","46.2667, -113.8500"
"Tywyn, Merionethshire, Wales, United Kingdom","52.5829, -4.0899"
"Union, Jefferson, Idaho, United States","43.7333, -111.8833"
"Valdosta, Lownes, Georgia, United States","30.8325, -83.2786"
"Vernon, Fremont, Idaho, United States","44.0167, -111.5333"
"Waterflow, San Juan, New Mexico, United States","36.7597, -108.4811"
"Waterloo Township, Cavalier, North Dakota, United States","48.7833, -98.5500"
"Welling, Cardston County, Alberta, Canada","49.4667, -112.7833"
"Wells Township, Wells, North Dakota, United States","47.8000, -99.8500"
"West Jordan, Salt Lake, Utah, United States","40.6097, -111.9383"
"Wilford, Apache, Arizona, United States","34.3620, -110.6440"
"Willard, Box Elder, Utah, United States","41.4092, -112.0353"
"Willmont, Piute, Utah, United States","38.2500, -112.0000"
"Wilson, Teton, Wyoming, United States","43.5008, -110.8744"
"Windsor, Essex, Ontario, Canada","42.3155, -83.0359"
"Wrentham, County of Warner No. 5, Alberta, Canada","49.5167, -112.1833"
"Yreka, Siskiyou, California, United States","41.7354, -122.6345"
"Zapato, Costilla, Colorado, United States","37.6625, -105.6108"
"Zurich, Zurich, Switzerland","47.3777, 8.5411"
